"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20120101 ~ 20121231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강남구 개포동","1205-1","1205","0001","W하우스","55.13","33.21","201209","20","41,600","4","2012","개포로26길 20",""
"서울특별시 강남구 개포동","1169-4","1169","0004","그리미아빌","75.47","33.94","201212","14","36,000","3","2001","논현로6길 10-12",""
"서울특별시 강남구 개포동","1231-15","1231","0015","금성하이츠","34.83","16.62","201212","11","18,000","2","1993","개포로20길 21",""
"서울특별시 강남구 개포동","1216-9","1216","0009","노블레스(1216-9)","78.17","43.14","201204","5","44,800","2","2006","개포로24길 9",""
"서울특별시 강남구 개포동","1184-17","1184","0017","뉴아트빌","52.01","27.35","201203","13","24,900","4","1995","논현로8길 39",""
"서울특별시 강남구 개포동","1171-6","1171","0006","뉴아트빌라","74.28","32.69","201203","6","27,000","1","2000","논현로4길 15",""
"서울특별시 강남구 개포동","1202-8","1202","0008","다세대주택","48.03","21.26","201212","1","7,900","-1","1993","개포로22길 45-15",""
"서울특별시 강남구 개포동","1209-6","1209","0006","대성빌라(1209-6)","46.46","24.36","201209","15","23,700","2","1991","개포로34길 18",""
"서울특별시 강남구 개포동","1164-29","1164","0029","동산빌라","42.84","19.1","201203","5","15,000","2","1996","논현로2길 63",""
"서울특별시 강남구 개포동","1205-8","1205","0008","두리빌","64.09","33.34","201202","28","32,000","4","2002","개포로24길 23",""
"서울특별시 강남구 개포동","1170-1","1170","0001","리안빌리지(1170-1)","32.615","19.54","201206","28","22,500","4","2012","논현로6길 14-4",""
"서울특별시 강남구 개포동","1170-1","1170","0001","리안빌리지(1170-1)","27.595","16.53","201207","9","19,900","5","2012","논현로6길 14-4",""
"서울특별시 강남구 개포동","1170-1","1170","0001","리안빌리지(1170-1)","27.595","16.53","201207","23","19,500","5","2012","논현로6길 14-4",""
"서울특별시 강남구 개포동","1170-1","1170","0001","리안빌리지(1170-1)","43.115","25.84","201209","11","26,000","3","2012","논현로6길 14-4",""
"서울특별시 강남구 개포동","1170-1","1170","0001","리안빌리지(1170-1)","43.115","25.84","201209","17","27,000","2","2012","논현로6길 14-4",""
"서울특별시 강남구 개포동","1170-1","1170","0001","리안빌리지(1170-1)","43.115","25.84","201209","20","26,500","3","2012","논현로6길 14-4",""
"서울특별시 강남구 개포동","1209-12","1209","0012","베네세하우스","73.435","42.24","201211","1","52,000","2","2012","개포로32길 19",""
"서울특별시 강남구 개포동","1202-6","1202","0006","비스타그린빌","54.55","27.03","201210","10","28,000","3","2002","개포로28길 36",""
"서울특별시 강남구 개포동","1265-5","1265","0005","삼보빌라","51.35","21.66","201203","5","23,900","2","1994","개포로31길 29",""
"서울특별시 강남구 개포동","1257-9","1257","0009","삼성파크뷰","72.67","33.23","201211","15","32,000","2","2001","개포로25길 3-8",""
"서울특별시 강남구 개포동","1209-20","1209","0020","삼성파크빌","72.51","34.38","201210","18","30,000","3","2003","개포로32길 15",""
"서울특별시 강남구 개포동","162-5","0162","0005","소망빌라A동(162-5)","42.47","19.4","201210","11","16,500","-1","1995","선릉로8길 21",""
"서울특별시 강남구 개포동","166-8","0166","0008","아트빌라B동(166-8)","60.68","26.6","201205","12","40,000","4","2001","선릉로10길 4-3",""
"서울특별시 강남구 개포동","166-8","0166","0008","아트빌라B동(166-8)","60.68","26.6","201211","16","40,000","4","2001","선릉로10길 4-3",""
"서울특별시 강남구 개포동","161","0161","0000","우성파크빌라(161-0)","31.12","12.13","201205","3","18,000","2","1993","선릉로10길 28",""
"서울특별시 강남구 개포동","1195-6","1195","0006","운영빌라 3차","41.17","18.45","201204","10","17,000","1","1996","논현로12길 9",""
"서울특별시 강남구 개포동","1201-2","1201","0002","원아트 빌라","38.9","16.71","201205","1","10,500","-1","1995","개포로22길 45-8",""
"서울특별시 강남구 개포동","1201-4","1201","0004","인포빌1","64.44","30.47","201203","13","34,500","3","2003","개포로22길 45-14",""
"서울특별시 강남구 개포동","1211-6","1211","0006","일산빌라","61.4","30.08","201204","3","17,700","-1","1991","개포로38길 14",""
"서울특별시 강남구 개포동","1232-9","1232","0009","정화 하이츠 빌라","61.27","35.46","201210","18","33,700","2","1991","논현로18길 22-13",""
"서울특별시 강남구 개포동","1218-6","1218","0006","주택9세대","54.18","53.92","201210","15","26,000","3","1988","개포로24길 22",""
"서울특별시 강남구 개포동","1182-2","1182","0002","청광아트빌라","32.75","15.04","201207","30","11,000","1","1996","논현로8길 66-5",""
"서울특별시 강남구 개포동","1182-2","1182","0002","청광아트빌라","41.2","18.93","201209","23","15,000","4","1996","논현로8길 66-5",""
"서울특별시 강남구 개포동","660-28","0660","0028","태주하이빌","41.86","26.27","201206","8","16,800","5","2012","언주로6길 4-3",""
"서울특별시 강남구 개포동","1196-13","1196","0013","프라임 그린빌","62.67","31.46","201206","12","31,000","2","2002","논현로12길 9-14",""
"서울특별시 강남구 개포동","1199-10","1199","0010","프리죤","58.96","28.5","201202","10","18,000","-1","1997","개포로20길 58",""
"서울특별시 강남구 개포동","1188-10","1188","0010","하이랜드빌라","70.49","40.49","201206","15","34,500","4","2002","논현로8길 32-18",""
"서울특별시 강남구 논현동","137-15","0137","0015","(137-15)","41.38","30.55","201203","20","19,000","-1","1986","강남대로126길 56",""
"서울특별시 강남구 논현동","193-4","0193","0004","(193-4)","16.74","10.34","201201","9","16,500","4","2011","논현로113길 21",""
"서울특별시 강남구 논현동","193-4","0193","0004","(193-4)","16.74","10.34","201201","25","17,000","3","2011","논현로113길 21",""
"서울특별시 강남구 논현동","193-4","0193","0004","(193-4)","16.74","10.34","201203","20","17,000","4","2011","논현로113길 21",""
"서울특별시 강남구 논현동","193-4","0193","0004","(193-4)","16.47","10.18","201206","30","16,800","3","2011","논현로113길 21",""
"서울특별시 강남구 논현동","193-4","0193","0004","(193-4)","14.5","8.96","201211","6","17,000","2","2011","논현로113길 21",""
"서울특별시 강남구 논현동","193-4","0193","0004","(193-4)","14.5","8.96","201211","22","17,000","3","2011","논현로113길 21",""
"서울특별시 강남구 논현동","197-3","0197","0003","(197-3)","15.7","10.4","201204","28","17,150","2","2012","강남대로114길 26",""
"서울특별시 강남구 논현동","197-3","0197","0003","(197-3)","15.9","10.4","201208","3","17,000","5","2012","강남대로114길 26",""
"서울특별시 강남구 논현동","9-4","0009","0004","(9-4)","16.5","10.44","201207","2","8,000","-1","1996","논현로149길 17-6",""
"서울특별시 강남구 논현동","173-22","0173","0022","가운빌라","33.19","22.09","201210","19","20,800","4","2007","논현로119길 40",""
"서울특별시 강남구 논현동","211-6","0211","0006","강남빌라(211-6)","36.52","31.48","201210","20","23,000","-1","1989","학동로38길 21-1",""
"서울특별시 강남구 논현동","107-41","0107","0041","강남하이츠","93.2","45.82","201206","12","45,000","2","2000","언주로140길 24",""
"서울특별시 강남구 논현동","130-21","0130","0021","개나리집","25.42","20.05","201202","8","11,200","3","2002","학동로28길 21",""
"서울특별시 강남구 논현동","130-21","0130","0021","개나리집","25.83","10.64","201202","8","11,300","2","2002","학동로28길 21",""
"서울특별시 강남구 논현동","130-21","0130","0021","개나리집","25.42","20.05","201202","8","11,200","2","2002","학동로28길 21",""
"서울특별시 강남구 논현동","130-21","0130","0021","개나리집","22","9.06","201202","8","9,700","3","2002","학동로28길 21",""
"서울특별시 강남구 논현동","130-21","0130","0021","개나리집","22","9.06","201202","8","9,700","2","2002","학동로28길 21",""
"서울특별시 강남구 논현동","130-21","0130","0021","개나리집","36.03","25.6","201202","8","15,800","4","2002","학동로28길 21",""
"서울특별시 강남구 논현동","130-21","0130","0021","개나리집","21","8.65","201202","8","9,200","4","2002","학동로28길 21",""
"서울특별시 강남구 논현동","130-21","0130","0021","개나리집","25.01","8.8","201202","8","11,000","4","2002","학동로28길 21",""
"서울특별시 강남구 논현동","130-21","0130","0021","개나리집","21.56","19.7","201202","8","9,500","2","2002","학동로28길 21",""
"서울특별시 강남구 논현동","130-21","0130","0021","개나리집","25.83","10.64","201202","8","11,400","3","2002","학동로28길 21",""
"서울특별시 강남구 논현동","63-1","0063","0001","거북맨션 가,나동","68.67","65.13","201205","26","47,500","1","1980","언주로149길 17",""
"서울특별시 강남구 논현동","16-34","0016","0034","거산빌라","31.85","16.88","201210","26","15,000","4","1995","도산대로8길 20-9",""
"서울특별시 강남구 논현동","194-5","0194","0005","남강빌라","54.81","22.87","201205","3","27,500","3","1992","논현로113길 45",""
"서울특별시 강남구 논현동","171-1","0171","0001","네오빌(171-1)","81.5","43.72","201210","26","45,000","-1","2004","학동로26길 79",""
"서울특별시 강남구 논현동","75-9","0075","0009","논현빌리지","122.64","65.41","201211","9","52,700","4","2001","학동로33길 39",""
"서울특별시 강남구 논현동","262-14","0262","0014","논현빌리지(262-14)","43.39","20.19","201208","6","22,100","4","1991","학동로42길 57-4",""
"서울특별시 강남구 논현동","28-17","0028","0017","논현아테나니케","112.49","86.54","201210","30","110,000","1","2004","학동로19길 34",""
"서울특별시 강남구 논현동","260","0260","0000","논현아펠바움2차(3단지)","244.35","192.51","201202","15","380,000","3","2011","학동로42길 43",""
"서울특별시 강남구 논현동","260","0260","0000","논현아펠바움2차(3단지)","242.66","191.19","201211","12","360,000","4","2011","학동로42길 43",""
"서울특별시 강남구 논현동","260-13","0260","0013","논현아펠바움2차(5단지)","244.9","179.13","201205","9","280,000","3","2011","학동로42길 45",""
"서울특별시 강남구 논현동","260-13","0260","0013","논현아펠바움2차(5단지)","242.16","172.05","201212","1","310,000","2","2011","학동로42길 45",""
"서울특별시 강남구 논현동","260-13","0260","0013","논현아펠바움2차(5단지)","242.16","172.05","201212","28","330,000","3","2011","학동로42길 45",""
"서울특별시 강남구 논현동","260-13","0260","0013","논현아펠바움2차(5단지)","244.53","173.73","201212","28","380,000","4","2011","학동로42길 45",""
"서울특별시 강남구 논현동","260-13","0260","0013","논현아펠바움2차(5단지)","242.16","172.05","201212","28","350,000","4","2011","학동로42길 45",""
"서울특별시 강남구 논현동","260-13","0260","0013","논현아펠바움2차(5단지)","244.53","173.73","201212","28","360,000","3","2011","학동로42길 45",""
"서울특별시 강남구 논현동","107-29","0107","0029","대광빌라","52.37","25.28","201210","9","15,000","2","1992","언주로136길 15-7",""
"서울특별시 강남구 논현동","132-16","0132","0016","대림논현빌라","179.97","101.26","201203","14","65,000","2","1992","학동로26길 26",""
"서울특별시 강남구 논현동","30-2","0030","0002","대우멤버스카운티101","134.64","100.75","201212","7","98,000","3","2004","도산대로26길 34-11",""
"서울특별시 강남구 논현동","173-15","0173","0015","동산빌라","50.04","22.15","201203","24","17,250","-1","1990","학동로18길 64",""
"서울특별시 강남구 논현동","124-36","0124","0036","동현빌라","105.94","54.47","201212","13","35,000","-1","1993","학동로8길 11",""
"서울특별시 강남구 논현동","47-10","0047","0010","라디안","113.04","56.89","201203","7","58,300","3","2004","학동로5길 21",""
"서울특별시 강남구 논현동","154-2","0154","0002","명빌라","69.21","53.5","201208","22","32,400","1","1990","학동로26길 39",""
"서울특별시 강남구 논현동","214-4","0214","0004","미주그린빌라","50.37","23.93","201203","16","28,000","2","1995","논현로124길 19-5",""
"서울특별시 강남구 논현동","190-16","0190","0016","미주빌라C동","41.13","25.37","201206","13","24,000","3","1986","논현로115길 25",""
"서울특별시 강남구 논현동","151-4","0151","0004","산호빌라","58.31","25.6","201212","4","29,000","4","2002","봉은사로25길 68",""
"서울특별시 강남구 논현동","151-4","0151","0004","산호빌라","55.32","24.4","201212","27","22,000","3","2002","봉은사로25길 68",""
"서울특별시 강남구 논현동","177-21","0177","0021","삼풍빌라","82.64","72.4","201212","11","55,000","1","1990","논현로115길 28",""
"서울특별시 강남구 논현동","249-7","0249","0007","신현대빌라","35.78","36.2","201208","3","20,000","2","1986","학동로42길 48",""
"서울특별시 강남구 논현동","103-1","0103","0001","신현빌라","230.9","120.63","201212","3","85,000","1","1997","선릉로141길 17",""
"서울특별시 강남구 논현동","110","0110","0000","아트리스빌","73.82","36.9","201209","7","33,000","3","2002","학동로47길 24",""
"서울특별시 강남구 논현동","10-14","0010","0014","영동빌라","41.16","23.65","201211","12","16,000","-1","1994","도산대로16길 19",""
"서울특별시 강남구 논현동","271-19","0271","0019","우성아트빌라","114.28","73.81","201201","18","51,000","2","1992","봉은사로47길 13",""
"서울특별시 강남구 논현동","73-21","0073","0021","우신빌라 가동","59.68","27.55","201205","23","20,000","2","2003","도산대로30길 29-12",""
"서울특별시 강남구 논현동","149-40","0149","0040","원일빌라","52.65","35.09","201208","17","25,000","2","1991","학동로18길 32-4",""
"서울특별시 강남구 논현동","45","0045","0000","월드노블레스빌","135.54","63.02","201202","6","69,700","3","2001","강남대로136길 34",""
"서울특별시 강남구 논현동","45","0045","0000","월드노블레스빌","177.76","82.66","201212","14","70,000","1","2001","강남대로136길 34",""
"서울특별시 강남구 논현동","124-35","0124","0035","은솔빌라","138.96","80.56","201210","22","41,000","1","1999","학동로8길 13",""
"서울특별시 강남구 논현동","273-8","0273","0008","은탑산수인","84.45","38.9","201207","30","40,000","4","2002","언주로114길 15-10",""
"서울특별시 강남구 논현동","183-17","0183","0017","이건빌라","49.18","32.58","201203","19","37,000","3","1991","강남대로116길 21",""
"서울특별시 강남구 논현동","271","0271","0000","학동빌라(271)","44.46","20.7","201212","5","12,500","-1","1992","선릉로115길 35",""
"서울특별시 강남구 논현동","182-15","0182","0015","한승빌라","52.05","28.79","201204","19","27,000","2","1991","강남대로120길 26",""
"서울특별시 강남구 논현동","182-15","0182","0015","한승빌라","52.05","28.79","201204","30","29,000","4","1991","강남대로120길 26",""
"서울특별시 강남구 논현동","123-12","0123","0012","현대빌라(123-12)","222.48","118.42","201211","15","73,000","2","1992","학동로8길 16",""
"서울특별시 강남구 논현동","123-12","0123","0012","현대빌라(123-12)","228.63","118.42","201211","22","132,000","3","1992","학동로8길 16",""
"서울특별시 강남구 논현동","12-11","0012","0011","휴먼빌라","154.86","135.75","201204","13","73,500","2","1989","도산대로12길 20",""
"서울특별시 강남구 논현동","32-3","0032","0003","힐스빌6차","204.77","154.78","201205","25","105,000","2","2003","논현로145길 15",""
"서울특별시 강남구 논현동","16-33","0016","0033","美俊빌라(16-33)","64.6","31.45","201208","14","29,500","3","1991","도산대로8길 20-7",""
"서울특별시 강남구 대치동","916-6","0916","0006","(916-6)","109.44","79.7","201211","9","38,000","2","1990","삼성로71길 43-6",""
