시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일
서울특별시 강남구 개포동,1172-2,1172,2,(1172-2),42.15,24.67,201304,26,"25,000",3,2012,논현로6길 22-6,
서울특별시 강남구 개포동,1172-2,1172,2,(1172-2),42.15,24.67,201306,4,"25,000",3,2012,논현로6길 22-6,
서울특별시 강남구 개포동,1172-2,1172,2,(1172-2),42.15,24.67,201310,25,"24,500",2,2012,논현로6길 22-6,
서울특별시 강남구 개포동,1216-4,1216,4,(1216-4),37.18,23.86,201302,13,"27,800",5,2012,개포로26길 16,
서울특별시 강남구 개포동,1216-4,1216,4,(1216-4),35.87,23.02,201304,26,"26,500",3,2012,개포로26길 16,
서울특별시 강남구 개포동,1205-1,1205,1,W하우스,51.69,31.15,201309,25,"41,000",5,2012,개포로26길 20,
서울특별시 강남구 개포동,1205-1,1205,1,W하우스,46.29,27.89,201312,16,"40,000",5,2012,개포로26길 20,
서울특별시 강남구 개포동,1205-1,1205,1,W하우스,55.13,33.21,201312,16,"37,700",3,2012,개포로26길 20,
서울특별시 강남구 개포동,1205-1,1205,1,W하우스,55.13,33.21,201312,20,"37,500",4,2012,개포로26길 20,
서울특별시 강남구 개포동,1205-1,1205,1,W하우스,55.13,33.21,201312,24,"37,500",3,2012,개포로26길 20,
서울특별시 강남구 개포동,1252-1,1252,1,건양빌리지,139.5,70,201311,11,"59,000",4,1991,개포로25길 27,
서울특별시 강남구 개포동,1202-2,1202,2,경모하이츠,51.69,21.2,201303,13,"20,500",3,1991,개포로22길 41-6,
서울특별시 강남구 개포동,1235-16,1235,16,광현빌라,50.22,27.63,201309,3,"28,000",2,2001,논현로18길 10-13,
서울특별시 강남구 개포동,1261-8,1261,8,금광,43.26,21.09,201311,4,"19,950",1,1992,개포로31길 9-6,
서울특별시 강남구 개포동,1219-9,1219,9,금풍빌라,50.07,47.4,201304,30,"32,000",2,1988,개포로20길 39,
서울특별시 강남구 개포동,1219-9,1219,9,금풍빌라,50.07,47.4,201309,25,"34,300",1,1988,개포로20길 39,
서울특별시 강남구 개포동,1219-8,1219,8,금호빌,42.66,23.19,201307,1,"19,800",4,1997,개포로20길 43,
서울특별시 강남구 개포동,1216-8,1216,8,노블레스(1216-8),58.17,27.88,201308,3,"32,700",4,2006,개포로24길 11,
서울특별시 강남구 개포동,1184-21,1184,21,뉴아트빌라,67.62,40.17,201312,11,"29,000",4,1997,논현로8길 29,
서울특별시 강남구 개포동,1188-3,1188,3,다세대,75.58,35.64,201303,18,"33,000",2,2001,논현로8길 18,
서울특별시 강남구 개포동,1202-8,1202,8,다세대주택,58.17,25.52,201305,24,"25,000",2,1993,개포로22길 45-15,
서울특별시 강남구 개포동,1202-8,1202,8,다세대주택,48.03,21.26,201311,23,"19,000",1,1993,개포로22길 45-15,
